,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
331,6.5,--,Vicente Aranda,Vicente ArandaAntonio LarretaManuel Tamayo y Baus,"The love story that transformed Juana, Queen of Spain, into Juana ""the Mad"". A story of passions, lies and jealousy with a political motive behind.",1h 55m,Mad Love
332,6.6,--,Toni Venturi,Di Moretti,"Lena owns a forgotten bar next to a highway where the trucks zip by but rarely stop. She is eight months pregnant and has been abandoned by her former lover, Colonel Mattos, of the São Paulo police. One day, she meets Vilela, a former policeman wanted for a crime he committed in São Paulo. Colonel Mattos was Vilela's superior, and his presence is continually felt by t... Read all",1h 25m,Latitude Zero
333,5.0,75%,Calum GrantJoshua Atesh Litle,Calum Grant,"Twelve years after a plague, an intimate mockumentary shows how the 186 San Francisco survivors live now.",1h 18m,Ever Since the World Ended
334,5.7,--,George David Jiha,George David Jiha,"When Josh loses his heart to Violet, he doesn't know how severely his faith will be tested, but he soon must decide whether he's willing to sacrifice everything -- including his life -- for the woman he loves.",1h 40m,A Sensible Obsession
335,5.1,60%,Jake Torem,Jade HenhamJake Torem,"An X-Rated 'Holly-Go-Lightly' flip flops between choosing life's uncertainty under her own direction or the ""Good Life"" provided by a twisted sister Gene.",1h 38m,Looking Through Lillian
336,6.1,--,Brian Flemming,Brian Flemming,"A mockumentary examining the December 2nd, 1999 assassination of Microsoft CEO Bill Gates in Los Angeles, and the group of key players seeking to unravel the mystery of his alleged assassin as well as the circumstances surrounding his death.",1h 22m,Nothing So Strange
337,3.7,91%,Bob Misiorowski,Jace AndersonBoaz DavidsonAdam Gierasch,FAA system analyzer named Neil McCabe is the only person who seems to have this different hunch towards a group of international terrorists after a horrific plane incident occured. He thinks that an evil genius computer hacker sets out and manipulate the computer electronical system which linked to several airplanes to cause destruction and tragedy. In order to preven... Read all,1h 31m,Panic
338,5.9,--,Brett Wagner,Brett Wagner,"Renee Unger is living the life she always hoped for: a little red-brick house in the small town of New Russia, Ohio, a good husband, a prospering construction business, and a baby on the way. When her husband's younger brother turns twenty-one and is released from juvenile prison, where he served five years for murder, Renee's cozy life begins to change. Colson comes ... Read all",1h 29m,Five Years
339,7.1,75%,Jun'ichi Mori,Jun'ichi Mori,"A young man named Teru, mentally altered by a childhood injury, runs a laundry and falls for Mizue, a lonely young woman with internal scars.",2h 6m,Laundry
340,5.4,--,Boris DurovYuriy Muzyka,Kapitolina IlyenkoLiubomir IorgaStella Myrzenko,Add a plot,1h 39m,"Chernaya magiya, ili svidanie s dyavolom"
341,6.9,--,Nikola Stojanovic,Nikola Stojanovic,"The last film made in Yugoslavia, tells a story about Sarajevo during the last days of Europe, better known as the ""Belle Epoque"", between the years 1910-1914. A time of troubled events in the Balkans and an assassination attempt of Franz Ferdinand, which caused the beginning of the First World War.",1h 59m,Last Waltz in Sarajevo
342,3.9,--,Boots Rakely,Linda BrownDiane ColtonS. Olin,Add a plot,1h 20m,Pleasure in Paradise
343,--,--,Michael Gilkes,Charlotte BrontëMichael GilkesJean Rhys,This hybrid film tells the history of author Jean Rhys and shows a dramatization of her famous novel Wide Sargasso Sea.,47m,Sargasso: A Caribbean Love Story
344,6.9,--,Elena Tsyplakova,Nadezhda Pokornaya,"The heroine of the film abandoned her newborn baby. Her conscience does not give her peace. After a suicide attempt and a psychiatric hospital, on the advice of a priest she takes a job in an orphanage.",1h 29m,Na tebya upovayu
